,DDPG第几个例子,DDPG训练时长,DDPG总共需要几个epoch,最终成功率
0,0,9.793051719665527,1,1.0
1,1,9.487009525299072,1,1.0
2,2,11.837775707244873,1,1.0
3,3,11.484222888946533,1,1.0
4,4,9.961164951324463,1,1.0
5,5,9.775060892105103,1,1.0
6,6,10.609840631484985,1,1.0
7,7,9.803394556045532,1,1.0
8,8,11.796659708023071,1,1.0
9,9,9.922713041305542,1,1.0
10,10,10.255159378051758,1,1.0
11,11,10.798033714294434,1,1.0
12,12,10.381300210952759,1,1.0
13,13,10.483073472976685,1,1.0
14,14,11.438436031341553,1,1.0
15,15,9.765109062194824,1,1.0
16,16,9.686050415039062,1,1.0
17,17,11.697589874267578,1,1.0
18,18,9.503087997436523,1,1.0
19,19,13.381297826766968,1,1.0
20,20,11.753608226776123,1,1.0
21,21,10.908440589904785,1,1.0
22,22,11.8985915184021,1,1.0
23,23,13.645359992980957,1,1.0
24,24,9.833981275558472,1,1.0
25,25,11.838201761245728,1,1.0
26,26,9.758488893508911,1,1.0
27,27,11.996673822402954,1,1.0
28,28,9.896655321121216,1,1.0
29,29,11.105048656463623,1,1.0
30,30,10.385711431503296,1,1.0
31,31,10.926100492477417,1,1.0
32,32,9.420746803283691,1,1.0
33,33,12.281922817230225,1,1.0
34,34,13.039794206619263,1,1.0
35,35,11.529225826263428,1,1.0
36,36,10.841618299484253,1,1.0
37,37,10.873187065124512,1,1.0
38,38,10.204772233963013,1,1.0
39,39,12.413946390151978,1,1.0
40,40,10.873236417770386,1,1.0
41,41,11.600454807281494,1,1.0
42,42,10.016673564910889,1,1.0
43,43,10.949897050857544,1,1.0
44,44,10.749351501464844,1,1.0
45,45,9.992345571517944,1,1.0
46,46,12.678871870040894,1,1.0
47,47,9.691192388534546,1,1.0
48,48,14.45271611213684,1,1.0
49,49,12.413586378097534,1,1.0
